,normalized_Un_MCF7 T_0A,normalized_Un_MCF7 T_3A,normalized_Un_MCF7 T_6A,normalized_Un_MCF7 T_9A,normalized_Un_MCF7 T_12A,normalized_Un_MCF7 T_24A,normalized_Un_MCF7 T_0B,normalized_Un_MCF7 T_3B,normalized_Un_MCF7 T_6B,normalized_Un_MCF7 T_9B,normalized_Un_MCF7 T_12B,normalized_Un_MCF7 T_24B,normalized_Un_MCF7 T_0C,normalized_Un_MCF7 T_3C,normalized_Un_MCF7 T_6C,normalized_Un_MCF7 T_9C,normalized_Un_MCF7 T_12C,normalized_Un_MCF7 T_24C
ATAD3C,0.5790252116893317,0.788884274114346,0.6391127064471994,0.6321881306279982,0.6033329450607581,0.44783937501607723,0.8058907767380278,0.7039713787310607,0.5877053303728241,0.4025390514137677,0.5735055326484418,0.4242721276121785,0.7494466600463225,1.0,0.6137070281130755,0.5927836038344712,0.5969967732551618,0.49598173992514266
ATAD3B,0.765964703504925,0.8899668147092601,0.8375404660479927,0.6665853468193815,0.5791985769493239,0.5880516378758015,0.8742345770165922,1.0,0.7407472527377729,0.5252109020847168,0.5362321625893195,0.5242877990692106,0.8470465312367084,0.9987134218784133,0.6960605502773314,0.5965921739390939,0.5913100174286633,0.5831286923517524
ATAD3A,0.6263279862415612,0.8811321731119948,0.761134350442236,0.5867875074217705,0.5964864894585862,0.5203092908305941,0.6818635520887928,1.0,0.6999120974630709,0.5195795184905729,0.5650562643071955,0.47053977646743056,0.6645276536105275,0.9673069389054793,0.6819244216850496,0.576068644028987,0.5312821433489562,0.4887713905323577
SSU72,1.0,0.8759738232596641,0.8678270330667467,0.8607187888523817,0.7939056311393219,0.6682876999363964,0.8408348779822057,0.8138740042171803,0.9132014588563974,0.8636340897336544,0.6929996762617101,0.7120449739563485,0.7553656178171054,0.7555689334886867,0.8409099388640855,0.7296318330629936,0.5703725648810629,0.7795140518180709
MIB2,0.4930675539953956,0.4431541446867892,0.9383094738654907,0.9874257991197282,0.9759488166515272,0.9852547545937814,0.5495452926545059,0.4227806974219682,0.9093361901317095,1.0,0.9045076176440368,0.8943460865441683,0.6061508715904704,0.37323996937945725,0.8224085848957006,0.8696284208130757,0.909716875048161,0.8837565741225496
CDK11B,0.854983418136131,0.7164255031402934,0.8115524692257737,0.8258965391815538,0.7151387402548371,0.7297074340273321,1.0,0.7699211613393984,0.7890373196849184,0.6516286771301859,0.7167749160818606,0.6199611872428372,0.8527961400943539,0.7400373718114676,0.7475735601378727,0.6932491382967082,0.7453452164040445,0.6755223670542015
ENSG00000272004,0.796115272963134,0.6096075074183729,0.7536936454238817,0.8973943608302688,0.8847338411756178,1.0,0.7663578627939837,0.667966012103255,0.7533368364952467,0.8091740708069363,0.8654599043409255,0.9379490456528692,0.8699748876232956,0.6749876295552628,0.7218822246981295,0.8175393646925238,0.9069450740523832,0.922665529975557
SLC35E2B,0.7855170298811934,0.732135895245572,0.7251529385599382,0.9143471245330411,0.8224525865422031,0.964714984339467,0.7126489516402559,0.7177308563804357,0.8491223163456929,0.6991904989191007,0.859316240810142,0.9379592609833515,0.7145307610483139,0.682365926129072,0.7304115982403196,0.782294552774235,0.8684350660869236,1.0
CDK11A,0.8902985388472672,0.750052660213733,0.8500845462353558,0.7495596034776999,0.6883386691210267,0.683947426880511,1.0,0.7276899560279277,0.7900059176553181,0.6502312079093281,0.7259588155937268,0.6420709431528278,0.8313348172439311,0.7286619327229151,0.7192045654566119,0.7058874450856975,0.7305632863037106,0.7333036440909019
ENSG00000268575,0.8044045481577092,0.7114255003329891,0.8501726163458311,0.9249293609979699,0.9198430615005421,1.0,0.8448785747395896,0.7150448822370389,0.8309649177212087,0.8655845394403603,0.8861573396939522,0.967443252554464,0.8283664240213927,0.7155723288006742,0.8393930702426904,0.8762497691548915,0.873110859604772,0.9797835951548337
ENSG00000227775,0.6429536863511138,0.5906354629293821,0.7522155680920398,0.8790765221705772,0.8705568986266802,1.0,0.6585533466759786,0.6247247993148574,0.7608171869126532,0.8250856166672834,0.809493383710879,0.971822770096645,0.6872115000599501,0.6134052648882249,0.7660460010950308,0.8290052700093572,0.8344063136776105,0.96172644301951
ENSG00000290854,0.6154386535289943,0.5912849917620502,0.74372442073865,0.9012820043440238,0.8788114542692063,1.0,0.6526810959328211,0.6370858221011697,0.757753618153833,0.8267276274345712,0.8254989728444673,0.972918856599532,0.6711662015364238,0.6162696175766919,0.7669249646901704,0.8366826373794175,0.8258653750395202,0.9720638192532391
SLC35E2A,0.4702438092030746,0.5500378768024907,0.7757121266302028,0.9269095395063213,0.7682454793248608,1.0,0.47305692244019676,0.7545100177558299,0.8311420353181311,0.7730411994380546,0.7368530892929507,0.8866081447027028,0.4937980992049829,0.6134509024443887,0.7662629264899458,0.8168912181897156,0.8270298854616397,0.9401197500218481
NADK,0.6249414780940139,0.8647374455787151,1.0,0.8792580703433261,0.8118169571691037,0.7797761458021986,0.6250875732254767,0.9303621829858079,0.9522117182699191,0.7768882527711499,0.8283198207520716,0.7300409777753512,0.7826825864478172,0.8633358414457855,0.9385234367436749,0.883837299583266,0.7983782002885181,0.7091155526294968
